year,teamid,score
2000,ANA,1.025
2000,ARI,1.103896103896104
2000,ATL,2.4179104477611943
2000,BAL,0.8409090909090909
2000,BOS,1.103896103896104
2000,CHA,2.4179104477611943
2000,CHN,0.6701030927835051
2000,CIN,1.103896103896104
2000,CLE,1.25
2000,COL,1.025
2000,DET,0.9518072289156626
2000,FLO,0.9634146341463414
2000,HOU,0.8
2000,KCA,0.9058823529411765
2000,LAN,1.131578947368421
2000,MIL,0.8202247191011236
2000,MIN,0.7419354838709677
2000,MON,0.7052631578947368
2000,NYA,4.675675675675675
2000,NYN,3.682352941176471
2000,OAK,2.3
2000,PHI,0.6701030927835051
2000,PIT,0.7419354838709677
2000,SDN,0.8837209302325582
2000,SEA,2.0816901408450708
2000,SFN,2.4923076923076923
2000,SLN,2.4179104477611943
2000,TBA,0.75
2000,TEX,0.7802197802197802
2000,TOR,1.0506329113924051
2001,ANA,0.8620689655172413
2001,ARI,4.814285714285714
2001,ATL,2.1891891891891895
2001,BAL,0.6428571428571429
2001,BOS,1.0379746835443038
2001,CHA,1.0506329113924051
2001,CHN,1.1891891891891893
2001,CIN,0.6875
2001,CLE,2.2816901408450705
2001,COL,0.8202247191011236
2001,DET,0.6875
2001,FLO,0.8837209302325582
2001,HOU,2.3478260869565215
2001,KCA,0.6701030927835051
2001,LAN,1.131578947368421
2001,MIL,0.723404255319149
2001,MIN,1.103896103896104
2001,MON,0.723404255319149
2001,NYA,3.9615384615384617
2001,NYN,1.025
2001,OAK,2.5
2001,PHI,1.131578947368421
2001,PIT,0.62
2001,SDN,0.9518072289156626
2001,SEA,3.5217391304347827
2001,SFN,1.25
2001,SLN,2.1478260869565218
2001,TBA,0.62
2001,TEX,0.8202247191011236
2001,TOR,0.975609756097561
2002,ANA,4.871428571428572
2002,ARI,2.53125
2002,ATL,2.711864406779661
2002,BAL,0.7052631578947368
2002,BOS,1.3478260869565217
2002,CHA,1.0
2002,CHN,0.7052631578947368
2002,CIN,0.9285714285714286
2002,CLE,0.8409090909090909
2002,COL,0.8202247191011236
2002,DET,0.5188679245283019
2002,FLO,0.9518072289156626
2002,HOU,1.0769230769230769
2002,KCA,0.62
2002,LAN,1.3142857142857143
2002,MIL,0.5283018867924528
2002,MIN,2.4029850746268657
2002,MON,1.0506329113924051
2002,NYA,2.7758620689655173
2002,NYN,0.872093023255814
2002,OAK,2.7457627118644066
2002,PHI,0.9876543209876543
2002,PIT,0.8089887640449438
2002,SDN,0.6875
2002,SEA,1.3478260869565217
2002,SFN,3.7393939393939393
2002,SLN,2.4923076923076923
2002,TBA,0.5188679245283019
2002,TEX,0.8
2002,TOR,0.9285714285714286
2003,ANA,0.9058823529411765
2003,ARI,1.0769230769230769
2003,ATL,2.6557377049180326
2003,BAL,0.7802197802197802
2003,BOS,2.217910447761194
2003,CHA,1.131578947368421
2003,CHN,2.1891891891891895
2003,CIN,0.7419354838709677
2003,CLE,0.723404255319149
2003,COL,0.8409090909090909
2003,DET,0.36134453781512604
2003,FLO,4.581690140845071
2003,HOU,1.16
